band,applications,bads,mean_score,mean_probability,population_share,bad_rate
decline,21526,5438,519.3754967070303,0.25254935051169725,0.10000139368289998,0.25262473288116694
refer,43051,5421,544.0479181815394,0.12376669042003487,0.19999814175613337,0.12592041996701586
approve,150680,6632,579.7448158118893,0.044652151519264265,0.7000004645609667,0.044013804088133796
